price,m2_real,room_num,bath_num,loc_city,loc_district,house_type,balcony,garage,swimming_pool,terrace,storage_room,lift,garden,price_m2,is_needs_renovating,is_new_development
1950000,590000,12,11,Gerena,"Carretera Gerena -El Garrobo, Km 4,5 s/n", Finca rústica,0,1,1,1,1,0,1,3.305084745762712,1,0
1900000,450000,5,5,Constantina,Desconocido, Casa o chalet independiente,1,1,1,1,1,0,1,4.222222222222222,0,0
1800000,1170,7,4,Tomares,Distrito Santa Eufemia, Casa o chalet independiente,0,1,1,0,1,0,1,1538.4615384615386,0,0
1700000,2700,8,6,Castilblanco de los Arroyos,Desconocido, Casa o chalet independiente,1,1,1,1,1,0,1,629.6296296296297,0,0
1700000,2220,8,10,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,765.7657657657658,0,0
1500000,1165,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,1287.5536480686694,0,0
1450000,1622,6,5,Gines,Desconocido, Casa o chalet independiente,1,1,1,1,1,0,1,893.9580764488286,0,0
1400000,1172,5,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,1194.5392491467576,0,0
1400000,1268,5,6,Tomares,Distrito Santa Eufemia, Casa o chalet independiente,0,1,0,1,0,0,0,1104.1009463722398,0,0
1355000,1171,5,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,1157.130657557643,0,0
1355000,1171,5,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,1157.130657557643,0,0
1355000,519,5,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,1,1,1,1,0,1,2610.7899807321774,0,0
1355000,1180,5,5,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,1148.3050847457628,0,0
1355000,1171,5,5,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,1157.130657557643,0,0
1355000,1171,6,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,1157.130657557643,0,0
1300000,670,5,4,Mairena del Aljarafe,Distrito Nuevo Bulevar, Casa o chalet independiente,0,0,1,1,0,0,1,1940.2985074626865,0,0
1300000,280000,6,6,Cazalla de la Sierra,Desconocido, Cortijo,0,0,0,0,0,0,0,4.642857142857143,0,0
1300000,90000,4,2,Dos Hermanas,Distrito Vista Azul - Consolación, Casa o chalet independiente,0,1,0,1,0,0,0,14.444444444444445,0,0
1300000,840,6,5,Dos Hermanas,Distrito El Arenal - La Pólvora, Casa o chalet independiente,0,1,1,0,0,0,1,1547.6190476190477,0,0
1250000,709,5,5,Mairena del Aljarafe,Distrito Simon Verde,Piso,0,1,1,0,0,0,1,1763.046544428773,0,0
1250000,1500,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,0,0,1,833.3333333333334,0,0
1250000,1500,5,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,833.3333333333334,0,0
1250000,1500,5,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,833.3333333333334,0,0
1250000,6183,7,4,Tomares,Distrito Santa Eufemia, Casa o chalet,0,0,1,0,1,0,1,202.16723273491831,0,0
1249000,30000,8,5,Huévar,Desconocido, Cortijo,0,0,1,0,0,0,1,41.63333333333333,0,0
1200000,3095,73,75,Espartinas,Distrito Loreto, Casa o chalet independiente,1,1,1,0,1,0,1,387.72213247172857,0,0
1150000,6200,7,4,Tomares,Distrito Santa Eufemia, Casa o chalet independiente,0,0,1,1,0,0,0,185.48387096774192,1,0
1100000,2000,9,8,Gines,Avenida de Europa, Casa o chalet independiente,0,1,1,1,1,0,1,550.0,0,0
1099000,2090,5,4,Gines,Avenida Europa, Casa o chalet independiente,0,1,1,1,1,0,1,525.8373205741627,0,0
1060500,977,6,6,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,0,1,1,1,0,1,1085.4657113613102,0,0
1000000,1700,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet,0,0,1,0,1,0,0,588.2352941176471,0,0
1000000,1575,9,7,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,634.9206349206349,0,0
1000000,500,4,1,Arahal,"Calle Veracruz, 6", Casa o chalet independiente,1,1,0,0,0,0,0,2000.0,1,0
1000000,10000,3,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,0,0,1,100.0,0,0
1000000,1640,5,5,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,1,1,1,1,0,1,609.7560975609756,0,0
1000000,1000,3,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,0,1,1,1,0,1,1000.0,0,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
780300,782,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes,Piso,0,1,0,0,0,0,0,997.8260869565217,1,0
740000,400,7,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,0,0,0,0,0,0,1850.0,0,0
720000,340,5,5,Mairena del Aljarafe,Distrito Casco Antiguo, Casa o chalet independiente,0,0,1,1,1,0,1,2117.6470588235293,0,0
700000,511,8,3,Arahal,"Calle Moron, 21", Chalet pareado,0,0,1,1,1,0,1,1369.86301369863,0,0
700000,800,5,4,Tomares,Distrito Santa Eufemia, Casa o chalet,0,0,1,1,0,0,1,875.0,0,0
700000,304,6,4,Dos Hermanas,Distrito La Hacienda - Nueva Andalucía, Casa o chalet independiente,0,1,0,0,1,0,0,2302.6315789473683,0,0
695000,386,4,3,Dos Hermanas,Distrito La Hacienda - Nueva Andalucía, Casa o chalet independiente,0,1,1,0,0,0,1,1800.518134715026,0,0
690000,426,5,3,El Castillo de las Guardas,Desconocido, Finca rústica,0,1,1,0,1,0,1,1619.718309859155,0,0
689000,420,6,4,Tomares,Distrito Las Almenas, Casa o chalet independiente,0,1,1,0,1,0,1,1640.4761904761904,0,0
680000,500,5,4,Mairena del Aljarafe,Distrito Pisa, Casa o chalet independiente,1,1,1,1,1,0,1,1360.0,0,0
680000,520,5,3,Tomares,Distrito Aljamar, Casa o chalet independiente,0,1,1,1,0,0,1,1307.6923076923076,0,0
680000,500,5,3,Tomares,Distrito Aljamar, Casa o chalet independiente,0,0,1,1,0,0,1,1360.0,0,0
679000,530,5,4,Sanlúcar la Mayor,Desconocido, Casa o chalet,0,1,1,1,1,0,1,1281.132075471698,0,0
650000,328,4,4,Dos Hermanas,Distrito El Arenal - La Pólvora, Chalet adosado,1,0,0,1,0,0,0,1981.7073170731708,0,0
650000,178,4,4,Dos Hermanas,Distrito Centro - Doña Mercedes, Casa o chalet independiente,1,0,0,1,1,0,0,3651.6853932584268,0,0
649000,516,9,6,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,0,0,1,0,0,1257.7519379844962,0,0
630000,400,4,3,Espartinas,Distrito Loreto, Casa o chalet independiente,0,0,1,0,1,0,1,1575.0,0,0
625000,370,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,1,0,1,1689.1891891891892,0,0
620000,500,5,4,Tomares,Distrito Aljamar, Casa o chalet,0,0,1,0,1,0,1,1240.0,0,0
600000,278,1,1,Dos Hermanas,Distrito El Arenal - La Pólvora,Piso,0,0,0,0,0,0,0,2158.273381294964,0,0
600000,350,6,5,Mairena del Aljarafe,Distrito Pisa, Casa o chalet independiente,1,1,1,1,1,0,0,1714.2857142857142,0,0
600000,200,3,2,Espartinas,Distrito Espartinas Pueblo, Casa o chalet independiente,0,0,0,1,1,0,0,3000.0,0,0
600000,411,7,6,Tomares,Distrito Centro, Chalet pareado,0,1,1,1,1,0,1,1459.85401459854,0,0
580000,640,6,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,1,0,1,906.25,0,0
561000,500,5,4,Tomares,Distrito Las Almenas, Casa o chalet independiente,0,1,1,1,1,0,1,1122.0,0,0
560000,601,6,4,Espartinas,Distrito Zona Colegio Europa, Casa o chalet independiente,0,1,1,1,1,0,1,931.7803660565723,0,0
550000,700,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,0,0,1,785.7142857142857,0,0
550000,250,5,4,Tomares,Distrito Santa Eufemia,Piso,1,1,1,1,1,1,1,2200.0,0,0
550000,800,6,3,Gines,Urb. Los Zajaries, Casa o chalet independiente,0,1,0,1,0,0,0,687.5,0,0
550000,610,4,5,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,1,901.639344262295,0,0
540000,400,3,2,Olivares,"Camino Caleras, 5", Finca rústica,0,0,0,0,0,0,0,1350.0,0,0
539680,550,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,0,1,0,0,0,1,981.2363636363636,0,0
539680,550,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,0,1,0,0,0,1,981.2363636363636,0,0
530000,616,6,3,Gines,"VICENTE ALEIXANDRE, 41", Casa o chalet independiente,0,1,1,1,1,0,1,860.3896103896104,0,0
525000,404,4,3,San Juan de Aznalfarache,Distrito Barrio Bajo, Casa o chalet,0,0,0,0,0,0,0,1299.5049504950496,0,0
520000,559,9,3,Sevilla,Distrito Bellavista - Jardines de Hércules, Chalet adosado,0,1,0,1,1,0,0,930.2325581395348,1,0
520000,450,5,3,Tomares,Distrito Las Almenas, Casa o chalet independiente,0,0,1,1,1,0,1,1155.5555555555557,0,0
505000,475,8,4,Mairena del Aljarafe,Distrito Cavaleri, Casa o chalet independiente,0,1,1,1,1,0,1,1063.157894736842,0,0
500000,500,6,5,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,0,1,1,0,0,1000.0,0,0
500000,705,4,3,Espartinas,Distrito Espartinas Pueblo, Casa o chalet independiente,0,1,1,1,1,0,1,709.2198581560284,0,0
500000,640,6,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,1,781.25,0,0
499000,630,6,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,1,792.063492063492,0,0
497000,245,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,0,0,0,0,0,0,2028.5714285714287,0,0
497000,600,8,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet,0,0,1,0,0,0,1,828.3333333333334,0,0
495000,300,4,3,Tomares,Distrito Aljamar, Casa o chalet independiente,0,1,1,0,1,0,1,1650.0,0,0
495000,250,5,4,Dos Hermanas,Distrito La Hacienda - Nueva Andalucía, Casa o chalet independiente,0,1,0,0,0,0,0,1980.0,0,0
495000,400,5,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,1237.5,0,0
495000,597,6,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,0,0,1,829.1457286432161,0,0
490000,325,3,3,Dos Hermanas,Distrito Centro - Doña Mercedes, Casa o chalet independiente,1,1,0,1,1,0,0,1507.6923076923076,0,0
485000,400,5,4,Mairena del Aljarafe,Distrito Simon Verde, Chalet pareado,0,1,1,1,1,0,1,1212.5,0,0
477225,211,5,4,Mairena del Aljarafe,Distrito Ciudad Expo,Piso,0,1,1,1,1,1,1,2261.729857819905,0,0
472000,663,5,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,1,0,1,711.9155354449472,0,0
470000,401,1,1,Dos Hermanas,Distrito Centro - Doña Mercedes, Casa de pueblo,0,0,0,0,0,0,0,1172.069825436409,1,0
470000,600,6,4,Guillena,Urb. Club de Golf Hato Verde, Casa o chalet independiente,0,1,1,1,1,0,1,783.3333333333334,0,0
465000,714,4,4,Tomares,Distrito Las Almenas, Casa o chalet independiente,0,0,1,0,1,0,1,651.2605042016806,0,0
460000,587,4,4,Dos Hermanas,Distrito El Arenal - La Pólvora, Casa o chalet independiente,1,0,1,1,1,0,1,783.6456558773424,0,0
450000,300,5,3,Sevilla,Distrito Bellavista - Jardines de Hércules, Chalet adosado,0,1,0,1,1,0,1,1500.0,0,0
450000,617,4,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,0,0,1,729.3354943273906,0,0
450000,744,3,3,Gines,"Manuel Causse Sales, 1", Casa o chalet independiente,0,1,1,0,1,0,1,604.8387096774194,0,0
450000,400,0,0,Dos Hermanas,Distrito Centro - Doña Mercedes, Casa o chalet independiente,0,0,0,0,0,0,0,1125.0,1,0
450000,500,6,4,Gines,Calle Estacada del Cura s/n, Casa o chalet independiente,0,1,1,1,1,0,1,900.0,0,0
450000,186,4,2,Gines,Urb. Los Almaizares, Casa o chalet independiente,0,0,0,0,1,0,1,2419.3548387096776,0,0
445000,538,6,3,Gines,Desconocido, Casa o chalet independiente,1,1,1,1,1,0,1,827.1375464684015,0,0
440000,600,5,3,Espartinas,Distrito Zona Colegio Europa, Casa o chalet independiente,0,1,1,1,1,0,1,733.3333333333334,0,0
440000,340,6,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,0,0,0,1,1294.1176470588234,0,0
430000,660,3,3,Tomares,Distrito Las Almenas, Casa o chalet independiente,0,1,0,1,1,0,0,651.5151515151515,0,0
425000,600,5,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,0,0,1,0,0,0,708.3333333333334,0,0
425000,580,6,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,0,732.7586206896551,0,0
425000,800,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,1,531.25,0,0
420000,800,4,2,Gines,Desconocido, Casa o chalet independiente,0,0,1,1,0,0,1,525.0,0,0
420000,360,6,4,Mairena del Aljarafe,Distrito Simon Verde, Chalet pareado,0,1,1,1,1,0,1,1166.6666666666667,0,0
420000,360,6,3,Mairena del Aljarafe,Distrito Simon Verde, Chalet pareado,0,1,1,1,1,0,1,1166.6666666666667,0,0
420000,400,5,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,0,1,1,1,0,1,1050.0,0,0
420000,360,6,3,Mairena del Aljarafe,Distrito Simon Verde, Chalet pareado,0,1,1,1,1,0,1,1166.6666666666667,0,0
420000,610,7,6,Mairena del Aljarafe,Distrito Nuevo Bulevar, Casa o chalet independiente,0,1,1,1,1,0,1,688.5245901639345,0,0
418000,500,4,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,0,1,1,1,0,1,836.0,0,0
415000,580,6,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet,0,0,1,1,1,0,1,715.5172413793103,0,0
415000,739,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,0,0,1,561.5696887686062,0,0
415000,573,5,5,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,0,0,0,1,724.2582897033159,0,0
412000,650,4,2,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,0,1,1,0,0,633.8461538461538,0,0
410000,502,4,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,0,1,1,0,1,816.7330677290837,0,0
409800,271,4,3,Dos Hermanas,Distrito Arco norte - Avda España, Chalet pareado,0,1,1,1,0,0,1,1512.1771217712178,0,1
409000,500,4,4,Mairena del Aljarafe,Distrito Ciudad Aljarafe, Casa o chalet independiente,0,1,0,0,0,0,0,818.0,0,0
400000,311,4,2,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,0,1,1,0,0,1,1286.1736334405145,0,0
400000,700,6,5,La Puebla de los Infantes,"Calle Postigos, 17", Casa de pueblo,1,0,0,1,1,0,1,571.4285714285714,0,0
400000,257,4,4,Gines,Avenida de Europa, Chalet pareado,0,0,1,1,0,0,0,1556.420233463035,0,0
400000,320,5,4,Espartinas,Distrito Espartinas Pueblo, Casa o chalet independiente,0,1,1,1,1,0,1,1250.0,0,0
400000,214,5,4,Espartinas,Distrito Loreto, Casa o chalet independiente,0,0,0,1,0,0,0,1869.1588785046729,0,0
400000,547,5,3,Espartinas,Distrito Loreto, Casa o chalet independiente,0,1,1,0,1,0,1,731.2614259597806,0,0
400000,432,4,2,Gines,Calle del Aire, Casa o chalet,0,0,1,0,0,0,0,925.925925925926,0,0
399999,800,4,2,Gines,Urb. La Pilarica, Casa o chalet independiente,0,1,1,0,1,0,1,499.99875,0,0
399000,588,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,1,678.5714285714286,0,0
399000,650,3,3,Mairena del Aljarafe,Distrito Nuevo Bulevar, Casa o chalet independiente,0,1,1,1,1,0,1,613.8461538461538,0,0
399000,590,4,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,1,1,1,0,1,676.271186440678,0,0
399000,400,7,5,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,1,1,1,1,0,1,997.5,0,0
397000,220,5,3,Tomares,Distrito Aljamar, Chalet adosado,1,1,1,1,1,0,1,1804.5454545454545,0,0
395000,590,6,4,Guillena,Desconocido, Casa o chalet independiente,0,1,1,1,0,0,1,669.4915254237288,0,0
395000,563,3,1,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,1,1,1,1,1,0,1,701.5985790408525,0,0
395000,388,6,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,1018.0412371134021,0,0
395000,750,6,3,Tomares,Distrito Las Almenas, Casa o chalet,0,0,1,1,0,0,1,526.6666666666666,0,0
395000,504,7,4,Guillena,Urb. Hato verde golf, Casa o chalet independiente,0,1,1,1,1,0,1,783.7301587301587,0,0
395000,502,6,4,Guillena,Urb. HATO VERDE, Casa o chalet independiente,0,1,1,1,1,0,1,786.8525896414343,0,0
395000,758,6,3,Gines,Desconocido, Casa o chalet independiente,1,1,1,1,1,0,1,521.1081794195251,0,0
394000,188,5,3,Tomares,Distrito Hacienda la Cartuja, Chalet adosado,0,0,0,0,0,0,1,2095.744680851064,0,0
394000,240,4,4,Mairena del Aljarafe,Distrito Ciudad Expo,Piso,0,1,1,1,1,1,1,1641.6666666666667,0,0
390000,560,7,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,696.4285714285714,0,0
390000,451,5,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,1,1,1,1,0,0,1,864.7450110864745,0,0
390000,400,5,3,Guillena,Urb. Hato Verde Golf, Casa o chalet independiente,0,1,1,1,1,0,1,975.0,0,0
390000,260,4,3,Pilas,"Calle el Pilar, 10", Chalet adosado,1,0,1,1,1,0,1,1500.0,0,0
388999,287,5,3,Tomares,Distrito Hacienda la Cartuja, Casa o chalet independiente,0,0,1,0,1,0,1,1355.397212543554,0,0
387000,800,5,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,1,1,1,1,1,0,1,483.75,0,0
385000,705,6,4,Espartinas,Distrito Ramal de Espartinas, Casa o chalet independiente,0,0,0,0,0,0,0,546.0992907801418,0,0
383000,107,3,2,Sevilla,Distrito Bellavista - Jardines de Hércules,Piso,0,0,1,1,0,1,1,3579.4392523364486,0,0
380000,210,5,4,Mairena del Aljarafe,Distrito Ciudad Expo,Piso,0,1,1,1,1,1,1,1809.5238095238096,0,0
380000,250,7,4,Mairena del Aljarafe,Distrito Simon Verde, Chalet pareado,0,1,1,1,1,0,1,1520.0,0,0
380000,600,5,4,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,1,1,1,1,0,1,633.3333333333334,0,0
380000,550,4,3,Mairena del Aljarafe,Distrito Simon Verde, Casa o chalet independiente,0,0,1,0,0,0,1,690.9090909090909,0,0
380000,600,6,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,1,1,1,1,1,0,1,633.3333333333334,0,0
380000,410,4,4,Gines,"Calle Estacada del Cura, Gines", Chalet adosado,1,1,1,1,1,0,1,926.829268292683,0,0
380000,488,4,3,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Casa o chalet independiente,0,1,0,0,0,0,1,778.688524590164,0,0
380000,300,5,3,Cazalla de la Sierra,"Calle del Durillo, 7", Casa o chalet independiente,0,0,0,1,1,0,0,1266.6666666666667,1,0
378000,494,5,4,Dos Hermanas,Distrito La Motilla - Fuente del Rey, Chalet pareado,0,1,1,1,1,0,1,765.1821862348178,0,0
377000,136,4,2,Mairena del Aljarafe,Distrito Nuevo Bulevar,Piso,0,0,1,1,0,0,0,2772.0588235294117,0,1
375000,392,8,5,El Castillo de las Guardas,"Calle Antonio Lopez, 5", Casa de pueblo,0,0,0,0,0,0,0,956.6326530612245,0,0
